Changed database context to 'NokiaFMA'.
OptiCore,LOT-OPT-6635,417,59,14.15,9
OptiCore,LOT-OPT-6947,398,51,12.81,14
OptiCore,LOT-OPT-1771,386,47,12.18,3
PhotonWorks,LOT-PHO-1106,427,27,6.32,8
OptiCore,LOT-OPT-1525,382,24,6.28,3
PhotonWorks,LOT-PHO-2139,424,26,6.13,4
OptiCore,LOT-OPT-5889,406,24,5.91,5
LumaNet,LOT-LUM-7932,422,23,5.45,4
LumaNet,LOT-LUM-9830,432,23,5.32,3
LumaNet,LOT-LUM-3646,368,19,5.16,3
LumaNet,LOT-LUM-2169,405,20,4.94,3
ZenOptics,LOT-ZEN-7304,396,19,4.80,2
PhotonWorks,LOT-PHO-1188,373,17,4.56,3
PhotonWorks,LOT-PHO-4814,420,19,4.52,4
ZenOptics,LOT-ZEN-8517,346,15,4.34,3
OptiCore,LOT-OPT-6155,394,17,4.31,5
ZenOptics,LOT-ZEN-7543,408,17,4.17,2
PhotonWorks,LOT-PHO-6573,380,15,3.95,2
PhotonWorks,LOT-PHO-4527,408,15,3.68,2
ZenOptics,LOT-ZEN-6977,391,14,3.58,2
LumaNet,LOT-LUM-2290,385,13,3.38,3
LumaNet,LOT-LUM-5315,430,13,3.02,3
OptiCore,LOT-OPT-9727,416,12,2.88,4
OptiCore,LOT-OPT-7201,372,10,2.69,1
LumaNet,LOT-LUM-5422,414,11,2.66,0

(25 rows affected)
