unit_serial,ttf_days,confirmed_failure_mode
LC-000054,85,THERMAL_DRIFT
LC-000094,16,VOLTAGE_RIPPLE
LC-000107,25,THERMAL_DRIFT
LC-000164,40,OPTICS_DEGRADATION
LC-000170,93,OPTICS_DEGRADATION
LC-000172,37,OPTICS_DEGRADATION
LC-000183,97,THERMAL_DRIFT
LC-000221,84,UNKNOWN
LC-000236,108,UNKNOWN
LC-000257,62,THERMAL_DRIFT
LC-000274,43,THERMAL_DRIFT
LC-000305,65,UNKNOWN
LC-000308,59,OPTICS_DEGRADATION
LC-000342,50,OPTICS_DEGRADATION
LC-000354,58,VOLTAGE_RIPPLE
LC-000444,101,UNKNOWN
LC-000490,39,THERMAL_DRIFT
LC-000492,107,THERMAL_DRIFT
LC-000501,114,THERMAL_DRIFT
LC-000502,49,VOLTAGE_RIPPLE
LC-000579,114,UNKNOWN
LC-000676,92,OPTICS_DEGRADATION
LC-000689,101,UNKNOWN
LC-000713,82,FW_REGRESSION
LC-000799,42,THERMAL_DRIFT
LC-000812,107,UNKNOWN
LC-000885,95,THERMAL_DRIFT
LC-000921,100,OPTICS_DEGRADATION
LC-000923,88,UNKNOWN
LC-000938,20,THERMAL_DRIFT
LC-000979,69,UNKNOWN
LC-001003,58,UNKNOWN
LC-001008,114,THERMAL_DRIFT
LC-001031,57,UNKNOWN
LC-001034,19,UNKNOWN
LC-001037,12,UNKNOWN
LC-001062,23,THERMAL_DRIFT
LC-001064,14,OPTICS_DEGRADATION
LC-001096,60,UNKNOWN
LC-001112,109,UNKNOWN
LC-001124,104,THERMAL_DRIFT
LC-001157,114,OPTICS_DEGRADATION
LC-001184,113,UNKNOWN
LC-001201,11,UNKNOWN
LC-001207,44,OPTICS_DEGRADATION
LC-001245,104,UNKNOWN
LC-001253,34,VOLTAGE_RIPPLE
LC-001262,102,FW_REGRESSION
LC-001271,79,THERMAL_DRIFT
LC-001273,65,UNKNOWN
LC-001287,91,UNKNOWN
LC-001289,90,OPTICS_DEGRADATION
LC-001326,69,VOLTAGE_RIPPLE
LC-001348,36,UNKNOWN
LC-001396,89,OPTICS_DEGRADATION
LC-001420,102,UNKNOWN
LC-001448,24,UNKNOWN
LC-001462,68,OPTICS_DEGRADATION
LC-001490,115,OPTICS_DEGRADATION
LC-001575,92,UNKNOWN
LC-001626,102,OPTICS_DEGRADATION
LC-001626,93,OPTICS_DEGRADATION
LC-001631,58,OPTICS_DEGRADATION
LC-001642,64,UNKNOWN
LC-001667,41,UNKNOWN
LC-001701,88,UNKNOWN
LC-001703,63,UNKNOWN
LC-001716,53,UNKNOWN
LC-001835,80,OPTICS_DEGRADATION
LC-001853,68,OPTICS_DEGRADATION
LC-001857,73,UNKNOWN
LC-001865,95,UNKNOWN
LC-001872,118,UNKNOWN
LC-001890,77,OPTICS_DEGRADATION
LC-001917,22,UNKNOWN
LC-001977,119,THERMAL_DRIFT
LC-002003,29,THERMAL_DRIFT
LC-002008,45,UNKNOWN
LC-002023,43,THERMAL_DRIFT
LC-002036,109,UNKNOWN
LC-002037,76,OPTICS_DEGRADATION
LC-002041,103,OPTICS_DEGRADATION
LC-002054,40,UNKNOWN
LC-002124,107,OPTICS_DEGRADATION
LC-002132,97,OPTICS_DEGRADATION
LC-002142,23,THERMAL_DRIFT
LC-002181,36,OPTICS_DEGRADATION
LC-002186,88,UNKNOWN
LC-002227,29,VOLTAGE_RIPPLE
LC-002238,47,UNKNOWN
LC-002250,13,THERMAL_DRIFT
LC-002294,82,UNKNOWN
LC-002308,99,FW_REGRESSION
LC-002323,40,FW_REGRESSION
LC-002334,87,UNKNOWN
LC-002349,58,OPTICS_DEGRADATION
LC-002384,107,UNKNOWN
LC-002391,108,THERMAL_DRIFT
LC-002402,33,OPTICS_DEGRADATION
LC-002402,118,OPTICS_DEGRADATION
LC-002444,23,UNKNOWN
LC-002451,82,UNKNOWN
LC-002481,60,UNKNOWN
LC-002517,67,OPTICS_DEGRADATION
LC-002567,38,FW_REGRESSION
LC-002569,90,UNKNOWN
LC-002608,94,UNKNOWN
LC-002625,94,OPTICS_DEGRADATION
LC-002686,95,UNKNOWN
LC-002732,18,UNKNOWN
LC-002738,62,UNKNOWN
LC-002740,46,UNKNOWN
LC-002779,65,THERMAL_DRIFT
LC-002793,48,VOLTAGE_RIPPLE
LC-002810,91,UNKNOWN
LC-002855,98,OPTICS_DEGRADATION
LC-002864,15,UNKNOWN
LC-002881,48,UNKNOWN
LC-002895,27,THERMAL_DRIFT
LC-002907,84,OPTICS_DEGRADATION
LC-002908,99,THERMAL_DRIFT
LC-003013,64,OPTICS_DEGRADATION
LC-003043,64,OPTICS_DEGRADATION
LC-003057,85,UNKNOWN
LC-003092,90,UNKNOWN
LC-003114,81,UNKNOWN
LC-003129,68,UNKNOWN
LC-003132,105,UNKNOWN
LC-003137,43,UNKNOWN
LC-003139,87,VOLTAGE_RIPPLE
LC-003165,85,UNKNOWN
LC-003173,39,UNKNOWN
LC-003176,85,UNKNOWN
LC-003280,93,THERMAL_DRIFT
LC-003297,43,OPTICS_DEGRADATION
LC-003334,80,OPTICS_DEGRADATION
LC-003340,10,OPTICS_DEGRADATION
LC-003355,41,UNKNOWN
LC-003401,105,UNKNOWN
LC-003409,85,OPTICS_DEGRADATION
LC-003421,58,UNKNOWN
LC-003433,116,UNKNOWN
LC-003434,110,FW_REGRESSION
LC-003493,92,UNKNOWN
LC-003509,50,THERMAL_DRIFT
LC-003518,53,THERMAL_DRIFT
LC-003520,119,THERMAL_DRIFT
LC-003536,99,UNKNOWN
LC-003557,17,FW_REGRESSION
LC-003582,89,UNKNOWN
LC-003595,64,UNKNOWN
LC-003616,88,OPTICS_DEGRADATION
LC-003618,96,UNKNOWN
LC-003636,100,UNKNOWN
LC-003700,93,UNKNOWN
LC-003712,60,THERMAL_DRIFT
LC-003713,119,UNKNOWN
LC-003757,13,UNKNOWN
LC-003770,84,OPTICS_DEGRADATION
LC-003777,62,THERMAL_DRIFT
LC-003794,39,THERMAL_DRIFT
LC-003821,28,UNKNOWN
LC-003908,95,UNKNOWN
LC-003937,23,UNKNOWN
LC-003957,41,OPTICS_DEGRADATION
LC-003960,78,UNKNOWN
LC-003966,116,VOLTAGE_RIPPLE
LC-004001,85,VOLTAGE_RIPPLE
LC-004020,33,FW_REGRESSION
LC-004053,41,THERMAL_DRIFT
LC-004064,19,OPTICS_DEGRADATION
LC-004079,64,OPTICS_DEGRADATION
LC-004085,113,THERMAL_DRIFT
LC-004115,114,UNKNOWN
LC-004120,63,OPTICS_DEGRADATION
LC-004147,57,FW_REGRESSION
LC-004183,40,UNKNOWN
LC-004190,79,UNKNOWN
LC-004204,11,THERMAL_DRIFT
LC-004209,120,UNKNOWN
LC-004213,41,VOLTAGE_RIPPLE
LC-004214,26,OPTICS_DEGRADATION
LC-004215,41,VOLTAGE_RIPPLE
LC-004223,85,THERMAL_DRIFT
LC-004232,108,OPTICS_DEGRADATION
LC-004276,105,THERMAL_DRIFT
LC-004279,52,THERMAL_DRIFT
LC-004316,99,UNKNOWN
LC-004331,120,VOLTAGE_RIPPLE
LC-004343,30,THERMAL_DRIFT
LC-004350,114,THERMAL_DRIFT
LC-004375,110,VOLTAGE_RIPPLE
LC-004397,65,UNKNOWN
LC-004420,115,OPTICS_DEGRADATION
LC-004422,52,OPTICS_DEGRADATION
LC-004430,58,VOLTAGE_RIPPLE
LC-004442,114,UNKNOWN
LC-004448,119,UNKNOWN
LC-004462,22,UNKNOWN
LC-004530,21,FW_REGRESSION
LC-004574,82,THERMAL_DRIFT
LC-004617,82,UNKNOWN
LC-004619,26,THERMAL_DRIFT
LC-004626,10,FW_REGRESSION
LC-004636,90,THERMAL_DRIFT
LC-004649,68,FW_REGRESSION
LC-004652,47,UNKNOWN
LC-004652,64,UNKNOWN
LC-004672,45,UNKNOWN
LC-004717,88,FW_REGRESSION
LC-004720,92,FW_REGRESSION
LC-004748,94,THERMAL_DRIFT
LC-004773,12,FW_REGRESSION
LC-004880,87,VOLTAGE_RIPPLE
LC-004885,117,OPTICS_DEGRADATION
LC-004890,30,UNKNOWN
LC-004912,102,UNKNOWN
LC-004915,40,THERMAL_DRIFT
LC-004937,109,UNKNOWN
LC-004942,39,UNKNOWN
LC-004967,73,UNKNOWN
LC-004998,45,UNKNOWN
LC-005016,70,FW_REGRESSION
LC-005080,58,OPTICS_DEGRADATION
LC-005084,81,UNKNOWN
LC-005086,30,UNKNOWN
LC-005102,13,FW_REGRESSION
LC-005150,34,UNKNOWN
LC-005151,48,OPTICS_DEGRADATION
LC-005165,100,VOLTAGE_RIPPLE
LC-005175,21,OPTICS_DEGRADATION
LC-005190,23,FW_REGRESSION
LC-005197,96,OPTICS_DEGRADATION
LC-005207,81,UNKNOWN
LC-005208,10,OPTICS_DEGRADATION
LC-005219,111,OPTICS_DEGRADATION
LC-005235,51,THERMAL_DRIFT
LC-005244,19,UNKNOWN
LC-005254,89,FW_REGRESSION
LC-005322,117,OPTICS_DEGRADATION
LC-005342,34,OPTICS_DEGRADATION
LC-005375,81,UNKNOWN
LC-005395,75,UNKNOWN
LC-005421,97,OPTICS_DEGRADATION
LC-005444,89,OPTICS_DEGRADATION
LC-005451,75,OPTICS_DEGRADATION
LC-005458,116,THERMAL_DRIFT
LC-005497,12,UNKNOWN
LC-005500,43,THERMAL_DRIFT
LC-005525,61,UNKNOWN
LC-005527,99,VOLTAGE_RIPPLE
LC-005537,61,UNKNOWN
LC-005540,94,FW_REGRESSION
LC-005545,55,UNKNOWN
LC-005583,101,OPTICS_DEGRADATION
LC-005587,83,UNKNOWN
LC-005608,28,UNKNOWN
LC-005609,48,FW_REGRESSION
LC-005631,105,OPTICS_DEGRADATION
